mac_address,eventtype,epocutc,zone,rssi,techtype
afb499043c1867e55e2ba8d36848cdee473c1d79cfaf313c82e7f41e,status,24-08-23 22:59,bz2457,-83,2
0066d11b0cef6f9f5a9bfd0e4fc0b77229da6b661634ee796212529a,status,24-08-23 22:59,bz2457,-81,2
0633ac8c2e3f712c213c3cd2c871242ba63455106fe56d015c45eb5c,status,24-08-23 23:00,bz2457,-85,2
f4d924fc2db382c383bb481b7733d4e0038ad6a763c720ff542325af,status,24-08-23 23:00,bz2457,-83,2
80fc4f4128f85d2be9f8e0838f17e29781593005e24609f2b5177b0d,status,24-08-23 23:00,bz2457,-83,2
99e7128446c4a4f9df95db9b35565b38b1f894661dfe31986435e6a5,status,24-08-23 23:00,bz2457,-85,2
24cf41bf78a32feaa796b9a6fd3e4cf6a0c009b59ca19d598c5656ac,status,24-08-23 23:00,bz2457,-83,2
a36dbdc22e3486bf698a97b68d8c9eaf6c6b4107f69eb3caa7f27a3b,status,24-08-23 23:00,bz2457,-83,2
36f4378c74400067dd0ee3a3f9457ff217640d00a022de360708e968,status,24-08-23 23:00,bz2457,-81,2
ddcf6f6558d1496bb92f3462ad497c249585e6e1ffd8e455de39d98c,status,24-08-23 23:00,bz2457,-83,2
40f490e1ebe0d1d71aec53e47d7ce8378b4626acbca51bebe03d1037,status,24-08-23 23:00,bz2457,-83,2
6954af56a43f75a981ce429dcad29608e162b8badb1b7ef6855c078d,status,24-08-23 23:00,bz2457,-83,2
e075d2f7089988c635ac7a76def5b456f7b27e9582ed7bd6999fbc6e,status,24-08-23 23:00,bz2457,-81,2
4f7e3081814b5bf7f81e5decb752ca8d7059685b95854ab842efcace,status,24-08-23 23:00,bz2457,-85,2
f3bd0af34a08e234cd636daba0f4085f7513f433cd9448bbe79f89c7,status,24-08-23 23:00,bz2457,-83,2
a4113307364b52fbbaf10fd8652e531383a73bb202f3df6f865c2b16,status,24-08-23 23:00,bz2457,-83,2
313f8c7e0eda3ab864d42986fc18c4e41da64ae3a0f7bb176c1cbfaf,status,24-08-23 23:00,bz2457,-85,2
c1f0802d6e0a99ccac9673b5a058b8a9b1d9bb718329cffce3eba2af,status,24-08-23 23:00,bz2457,-85,2
67faba53f5c50ba930630876129c57280ebe69eb5fb323d8a202670a,status,24-08-23 23:00,bz2457,-85,2
3cd493a0d776652b6f72918cb7084b7cef848da1bcd244f6288273f1,status,24-08-23 23:00,bz2457,-83,2
454f36c4b2e318e9acd50a8f1e84e7346e9bee04e2ca7e226652bcb3,status,24-08-23 23:00,bz2457,-83,2
76fb1f63bac1cf89996943d799df401cb64818f9721d8e3d2dd668c9,status,24-08-23 23:00,bz2457,-81,2
